iter	RMSE
368	0.3444401029
369	0.344120107
370	0.3438563781
371	0.3435747087
372	0.3432006631
373	0.3428919056
374	0.3428609711
375	0.3424977112
376	0.3422371201
377	0.3420035028
378	0.3417512437
379	0.3416371837
380	0.3413828159
381	0.3411192027
382	0.3408574289
383	0.3404165805
384	0.3401546552
385	0.3399579066
386	0.3396665871
387	0.3392463267
388	0.3390636121
389	0.3387771162
390	0.3385326085
391	0.3383505703
392	0.3380641895
393	0.3378009297
394	0.3375649736
395	0.3374707744
396	0.3371045843
397	0.336939136
398	0.336652272
399	0.3364379734
400	0.3361921695
401	0.3358656185
402	0.3355383373
403	0.33514222
404	0.334740753
405	0.3344821707
406	0.3342492083
407	0.3338990182
408	0.3335847436
409	0.3333787034
410	0.3330926078
411	0.3327919035
412	0.3325868672
413	0.3322694174
414	0.3320910575
415	0.3317608458
416	0.3314143991
417	0.3311527118
418	0.3309879409
419	0.3307226385
420	0.3304189049
421	0.3301151881
422	0.329885162
423	0.3295362695
424	0.3293797787
425	0.3292206801
426	0.3290706842
427	0.3288381714
428	0.3284950793
429	0.3282362716
430	0.328005917
431	0.3278097226
432	0.3275611499
433	0.3273135338
434	0.3269918846
435	0.3267353419
436	0.3264697554
437	0.3263207643
438	0.3260027408
439	0.3259488389
440	0.3257272098
441	0.3254993143
442	0.3252390399
443	0.325085256
444	0.3248426697
445	0.3245470596
446	0.3243021589
447	0.324146392
448	0.3238465588
449	0.3235968619
450	0.3233767105
451	0.3230063247
452	0.3227626388
453	0.3224164368
454	0.3221075616
455	0.3218879717
456	0.3215587946
457	0.3215129588
458	0.321225388
459	0.3208404766
460	0.3206358405
461	0.320506692
462	0.3202573922
463	0.3200266176
464	0.3196500275
465	0.3195036331
466	0.3193317531
467	0.3190435004
468	0.3187309838
469	0.3185163204
470	0.3183804344
471	0.3180562127
472	0.3178045703
473	0.3176375575
474	0.317515183
475	0.3172050076
476	0.3168305956
477	0.3165517676
478	0.3164308424
479	0.3161844125
480	0.3159583449
481	0.3155604549
482	0.3153044588
483	0.315128085
484	0.3149565252
485	0.3147197443
486	0.3144652979
487	0.3142025835
488	0.3139683821
489	0.3137587634
490	0.3134198994
491	0.3132187524
492	0.3131263389
493	0.3128606835
494	0.3126015371
495	0.3123286349
496	0.3121287385
497	0.3119197959
498	0.3117207051
499	0.3115060117
500	0.3113040089
501	0.311042836
502	0.3108025065
503	0.3105337243
504	0.3103499192
505	0.3101062859
506	0.3098803114
507	0.3097479911
508	0.3095932393
509	0.309323921
510	0.3091444794
511	0.308919994
512	0.3087072831
513	0.3084144684
514	0.3079800739
515	0.3077072769
516	0.3074735661
517	0.3071814092
518	0.306888716
